limitation_id,domain,identifiability_status,statement_cn,dissertation_statement_en,prohibited_claim,downstream_effect
L001,2022_DECISION_TIME,NOT_IDENTIFIABLE,2022 repeat-pair 的精确 decision timestamp 无法可靠恢复。,Exact decision timestamps for the 2022 repeat-pair cases were not reliably identifiable.,Do not claim reconstructed exact decision times.,No driver-specific 2022 future-weather counterfactual.
L002,QUEUE_WAIT,LATENT_SENSITIVITY_ONLY,历史 queue wait 无法由现有证据识别，5/15/30/45 分钟只能作为敏感度场景。,Historical queue waiting time was not identifiable; 5/15/30/45-minute values are sensitivity scenarios only.,Do not present wait scenarios as reconstructed historical waits or probabilities.,Priority/time value cannot be quantitatively estimated.
L003,QUEUE_POSITION,PARTIAL,只恢复了少量 queue membership / ordering / position 证据，不能重放完整 queue。,"Only partial queue membership, ordering and position evidence was recovered; a complete queue replay is not supported.",Do not claim exact historical queue state.,No full session-level priority queue simulation.
L004,LIVE_LEADERBOARD,PARTIAL,只有少量 contemporaneous rank/cutoff anchor，没有完整 historical live leaderboard。,"Only a small number of contemporaneous rank/cutoff anchors were recovered, not a complete historical live leaderboard.",Do not report complete rank/cutoff trajectories.,No reliable rank-outcome probability.
L005,TRACK_TEMPERATURE,FUTURE_NOT_IDENTIFIABLE,未来 track temperature 不预测，且禁止用 air temperature 推导。,"Future track temperature was not predicted, and air temperature was not used as a proxy.",Do not infer future track temperature from HRRR air temperature.,Track temperature remains diagnostic only.
L006,RUBBER_GRIP,UNKNOWN_NOT_IDENTIFIABLE,Day 1 rubber state 和 grip evolution 无法可靠恢复。,Day 1 rubber state and grip evolution were not reliably identifiable.,Do not use elapsed time as a rubber/grip proxy.,No quantitative grip-evolution term in simulator.
L007,TIRE_STATE,UNKNOWN_NOT_IDENTIFIABLE,attempt-specific tire thermal/pressure state 无法恢复。,Attempt-specific tyre thermal and pressure states were not identifiable.,"Do not infer tyre state from wait time, elapsed time or repeat occurrence.",No tyre-state predictor in simulator.
L008,PIT_SERVICE,UNKNOWN_NOT_IDENTIFIABLE,repeat attempt 之间的 refuel、cooling、tire service、setup adjustment 等无法可靠识别。,"Refuelling, cooling, tyre service and setup changes between repeat attempts were not reliably identifiable.",NOT OBSERVED must not be rewritten as NONE.,No service-state adjustment in performance model.
L009,ENVIRONMENT_CAUSALITY,OBSERVATIONAL_ONLY,天气与 repeat performance 的关系只能解释为观察性敏感度，不能解释为因果效应。,The relationship between environmental changes and repeat performance is observational sensitivity rather than a causal effect estimate.,Do not state that a weather change causes a specific speed change.,Environment model remains sensitivity-only.
L010,REPEAT_COMPLETION,NOT_MODELED,simulator 没有估计某个 queue/action 是否能在 session 结束前真正完成 repeat attempt。,The simulator does not estimate whether a repeat attempt can actually be completed before the end of the session.,Do not interpret Monte Carlo envelopes as session-completion probabilities.,Performance envelopes are conditional on a completed repeat attempt.
L011,HARD_RECOMMENDATION,NOT_READY,当前系统不能给出经过历史验证的硬性 retain/withdraw 推荐。,The current system does not support a historically validated hard retain/withdraw recommendation.,Do not claim optimal Lane 1/Lane 2/STOP decisions.,Output must remain decision support / risk envelope.
L012,LANE2_DOMINANCE,PERFORMANCE_ONLY,Lane2 的 downside protection 只在移除 priority/time 价值后的 performance-only 语义下成立。,Lane 2 downside protection holds only under the performance-only semantics that exclude priority and time value.,Do not state that Lane 2 is always better than Lane 1.,Lane 1 may have unmodeled strategic time value.
