check_id,year,severity,pass_fail,affected_count,expected_count,actual_count,details
INPUT_ROW_COUNT,ALL,BLOCKING,PASS,0,259,259,Frozen numeric input row count
INPUT_CYCLE_LEAD_LOCATION_UNIQUE,ALL,BLOCKING,PASS,0,259,259,No duplicate input snapshot identities
EXPECTED_CYCLE_LEAD_COVERAGE,2020,BLOCKING,PASS,0,52,52,missing=NONE
EXPECTED_CYCLE_LEAD_COVERAGE,2021,BLOCKING,PASS,0,52,52,missing=NONE
EXPECTED_CYCLE_LEAD_COVERAGE,2022,BLOCKING,PASS,0,52,52,missing=NONE
EXPECTED_CYCLE_LEAD_COVERAGE,2023,BLOCKING,PASS,0,52,52,missing=NONE
EXPECTED_CYCLE_LEAD_COVERAGE,2024,BLOCKING,PASS,1,52,51,missing=14Z_f03
VALID_TIME_ARITHMETIC,ALL,BLOCKING,PASS,0,259,259,bad_rows=[]
PHYSICAL_RANGE_SANITY,ALL,BLOCKING,PASS,0,4403,4403,bad=[]
DERIVED_FIELD_CONSISTENCY,ALL,BLOCKING,PASS,0,2331,2331,max_abs_residual=5.68e-14;bad=[]
IMS_EXTRACTION_COORDINATES,ALL,BLOCKING,PASS,0,259,259,"Expected frozen extraction point 39.795,-86.234"
CANONICAL_SNAPSHOT_UNIQUE,ALL,BLOCKING,PASS,0,259,259,One canonical snapshot per input cycle/lead/location
FORECAST_SNAPSHOT_SOURCE_FOREIGN_KEYS,ALL,BLOCKING,PASS,0,259,259,bad=[]
CANONICAL_VARIABLE_UNIQUE,ALL,BLOCKING,PASS,0,4403,4403,At most one value per snapshot and variable
WEATHER_VALUE_SNAPSHOT_FOREIGN_KEYS,ALL,BLOCKING,PASS,0,4403,4403,bad=[]
CANONICAL_UNIT_CONSISTENCY,ALL,BLOCKING,PASS,0,4403,4403,bad=[]
NO_INDEX_ONLY_PLACEHOLDERS,ALL,BLOCKING,PASS,0,0,0,No index inventory row is represented as a numeric snapshot
CYCLE_VALID_AVAILABILITY_DISTINCT,ALL,BLOCKING,PASS,0,259,259,Cycle and valid time retained; public availability is null and POLICY_REQUIRED
NO_TRACK_OR_TIRE_PROXY_SEMANTICS,ALL,BLOCKING,PASS,0,0,0,Only supplied atmospheric and radiative variables are materialized
RAW_DERIVED_PROVENANCE_CLASSIFICATION,ALL,BLOCKING,PASS,0,4403,4403,bad=[]
ZERO_FABRICATED_WEATHER_VALUES,ALL,BLOCKING,PASS,0,4403,4403,issues=[]
NO_PHASE_4B_WEATHER_JOINS,ALL,BLOCKING,PASS,0,0,0,Phase 4A ends before attempt or decision-state weather alignment
