source_path,source_class,unit_index,classification,rain_terms,lightning_terms,stop_terms,restart_terms,drying_terms,cleaning_terms,reset_terms,grip_terms,time_expressions,event_time_quality,track_state_effect,grip_effect,rubber_effect,promotion_status,text
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,138,RAIN_EVENT_ONLY,rain,lightning,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Positions 13 through 33 in “The Greatest Spectacle in Racing” were set during today’s qualifying, which was interrupted twice by rain and lightning for a total of two hours, 14 minutes and cut short by 60 minutes."
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,175,RAIN_EVENT_ONLY,rain|rain arrived,,,,,,,grip,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"The air and track temperature continued to climb until the first rain arrived, dropping grip and speeds."
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_QUALS_CHANGE.txt,INDYCAR_OFFICIAL_EDITORIAL,130,RAIN_EVENT_ONLY,rain,,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"With the potential of rain in the afternoon for the first day of PPG Presents Armed Forces Qualifying, the NTT INDYCAR SERIES is moving the start of Indianapolis 500 presented by Gainbridge qualifying to 11 a.m."
weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,140,RAIN_EVENT_ONLY,rain,lightning,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Positions 13 through 33 in &ldquo;The Greatest Spectacle in Racing&rdquo; were set during today&rsquo;s qualifying, which was interrupted twice by rain and lightning for a total of two hours, 14 minutes and cut short by 60 minutes."
weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,177,RAIN_EVENT_ONLY,rain|rain arrived,,,,,,,grip,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"The air and track temperature continued to climb until the first rain arrived, dropping grip and speeds."
weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_QUALS_CHANGE.html,INDYCAR_OFFICIAL_EDITORIAL,132,RAIN_EVENT_ONLY,rain,,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"With the potential of rain in the afternoon for the first day of PPG Presents Armed Forces Qualifying, the NTT INDYCAR SERIES is moving the start of Indianapolis 500 presented by Gainbridge qualifying to 11 a.m."
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_EDITORIAL,316,RAIN_EVENT_ONLY,rain,,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Before the rain hit Saturday afternoon, rising NTT IndyCar Series stars Rinus VeeKay and Pato O’Ward were the fast two drivers to qualify and led the 12 drivers who advanced to the second round of qualifying Sunday afternoon at the 2.5-mile oval."
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_EDITORIAL,415,RAIN_EVENT_ONLY,rain,lightning,,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,") in an attempt to make the Fast 12, qualifying was delayed for 90 minutes by lightning and rain."
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_EDITORIAL,430,INTERRUPTION_ORDER_ONLY,rain,,delay|rain delay,,,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,Newgarden was on pace for a similar drop but the two-time series champion caught a major break when qualifying was paused on his second lap for another rain delay.
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_EDITORIAL,431,DIRECT_DRYING_STATE_CANDIDATE,,,,,drying,,,,,UNADJUDICATED,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Nearly an hour later, IndyCar called the session with an hour remaining, and the track too wet for drying."
