target_id,target_type,query,driver,year,priority,goal,promotion_policy
R1G26C-Q001,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott 230.212,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q002,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott 230.961,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q003,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott retired qualifying,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q004,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott second run,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q005,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott second attempt,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q006,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott another run,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q007,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott another attempt,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q008,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott rerun,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q009,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott re-run,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q010,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott late improver,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q011,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott May 21 2022 qualifying,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q012,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott Indianapolis 500 qualifying May 21 2022,Callum Ilott,2022,MEDIUM,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q013,PRECISION_WEB_ARCHIVE_QUERY,Juncos Hollinger Ilott qualifying second run,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q014,PRECISION_WEB_ARCHIVE_QUERY,Juncos Hollinger Ilott qualifying rerun,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q015,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott qualifying retired 230.212,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
R1G26C-Q016,PRECISION_WEB_ARCHIVE_QUERY,Callum Ilott qualifying 230.961,Callum Ilott,2022,HIGH,Recover direct evidence for repeat-attempt ordering/action semantics without inferring Lane or queue state.,Discovery only. Requires separate adjudication.
