endpoint_id,source_authority,endpoint_template,method,parameters,frontend_evidence,polling,response,session_identifier,historical_behavior,test_result,raw_evidence_path,notes
results_seasons,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/SeasonDropDown?id=b856a4f1-e85c-4fac-8c36-fd58d962227a,GET,id=series UUID,Recovered Results bundle AJAX call,none,season list,series UUID,historical seasons supported,ARCHITECTURE_AND_DATA_CONFIRMED,weather/evidence/rescue/official_dynamic_resources/2024_002_bundle.js,Known navigation endpoint.
results_events,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsByYearSeries,GET,year; series,Recovered Results bundle AJAX call,none,event/session navigation,year + series,historical years supported,ARCHITECTURE_AND_DATA_CONFIRMED,weather/evidence/rescue/official_dynamic_resources/2024_002_bundle.js,Known navigation endpoint.
results_session_details,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id,Invoked on session selection; response SessionReports rendered into report groups,none,"session metadata, reports and final result records",EventsSessionID,2020-2024 responses locally confirmed,HISTORICAL_DATA_CONFIRMED,weather/evidence/rescue/official_lane_queue_live_resources/frontend_endpoint_code_context_v1.txt,Only Results API route found with target session payload.
live_config,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/tsconfig.json,GET,timestamp cache buster,current_js_484.js fetch; track_map includes empty wss_uri/wss_key,5 seconds,current display/session configuration,none in request,current-only in tested architecture,DATA_RETURNED_ARCHITECTURE_ONLY,weather/evidence/rescue/official_lane_queue_live_resources/current_tsconfig.json,No active WebSocket URI in rescued configuration.
live_timing,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json,GET,timestamp cache buster; sessionid probe unsupported,current_js_484.js fetch,5 seconds,heartbeat + competitor timing_results,EventSessionID in response; none confirmed in request,sessionid=6382 returned current EventSessionID 6736,ENDPOINT_CONFIRMED_HISTORICAL_QUERY_NOT_CONFIRMED,weather/evidence/rescue/official_lane_queue_live_resources/probe_timingscoring_sessionid_6382.json,Current response cannot be used as 2024 evidence.
track_activity,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed{_nxt}.json,GET,timestamp cache buster,current_js_484.js fetch,10 seconds,event/session state and imported result entries,sessionid in response; none confirmed in request,current feed; historical selector not found,DATA_RETURNED_ARCHITECTURE_ONLY,weather/evidence/rescue/official_lane_queue_live_resources/current_trackactivityleaderboardfeed.json,Contains ranks/results but no lane or queue fields.
schedule,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/schedulefeed{_nxt}.json,GET,timestamp cache buster,current_js_484.js fetch,10 seconds,current schedule/session metadata,sessionid in response; none confirmed in request,current feed; historical selector not found,DATA_RETURNED_ARCHITECTURE_ONLY,weather/evidence/rescue/official_lane_queue_live_resources/current_schedulefeed.json,Architecture only.
drivers,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/driversfeed{_nxt}.json,GET,none observed,current_js_484.js mount fetch,once on mount,driver metadata including race-control IDs,none,current feed; historical selector not found,DATA_RETURNED_ARCHITECTURE_ONLY,weather/evidence/rescue/official_lane_queue_live_resources/current_driversfeed.json,"Race-control IDs are identifiers, not race-control messages."
report_group_rendering,OFFICIAL_FIRST_PARTY,SessionReports from EventsSessionDetails; document URL or http://www.imscdn.com/<Url>,GET,EventsSessionID upstream,DocumentType controls Detailed/Summary/Officiating UI containers,none,report links/PDFs,EventsSessionID,target years confirmed,DYNAMIC_API_BACKED_UI_CATEGORY,weather/evidence/rescue/official_lane_queue_live_resources/frontend_endpoint_code_context_v1.txt,"Day 1 arrays contain only Results, Section Results, Top Section Times, plus 2023 Overall Results and an extra Results variant. No additional Summary, Officiating, race-control, qualifying-order, or chronology document was found in searched arrays."
signalr_websocket_search,OFFICIAL_FIRST_PARTY,none recovered,,,No SignalR reference; config has empty wss_uri/wss_key,,,,not found in searched resources,NOT_FOUND_IN_SEARCHED_SOURCES,weather/evidence/rescue/official_lane_queue_live_resources/frontend_endpoint_code_context_v1.txt,Negative result is scoped to rescued bundles/configuration.
