model_version,source_file,source_sha256,source_rows,evidence_role,disposition,used_to_estimate_probability_mass,used_as_direct_queue_wait,traceability_note
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_sensitivity_scenarios_v1.csv,067906c61fa541716065d31c995a248d545ab45dcce6869a5ba1426ffce817fd,4,STRUCTURAL_PRIOR_SUPPORT_GRID,ADOPTED,False,False,Defines 5/15/30/45 minute latent pre-run-delay sensitivity points; no historical truth claim.
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_uncertainty_policy_v1.csv,595aae5bbcd1929f68e003e7b7b43b0b0a6c6533869aecd43061fc8db60408f0,10,SEMANTIC_AND_INFERENCE_POLICY,ADOPTED,False,False,Forbids direct queue-wait estimation from timestamps and separates run duration from latent wait.
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_evidence_inventory_v1.csv,665708786f79de51085b0b05c7d2e2da8af1dcfed4954701c495295902c37b85,8,DIRECT_WAIT_IDENTIFIABILITY,ADOPTED,False,False,Establishes zero evidence layers usable as direct queue-wait observations.
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_throughput_proxy_v1.csv,b5f419c71cc7dca1fd0ed6b73e3992dbdfd859bcbec056d14ca5974ce6be7dad,132,ATTEMPT_THROUGHPUT_SANITY_CHECK,SANITY_CHECK_ONLY,False,False,Attempt spacings are not queue waits and do not calibrate probability masses.
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_run_duration_reference_v1.csv,54d936205203119c7cb3f7cb67dcd6b2110377a19804dc436786253b84e63eac,6,TIMED_RUN_DURATION_COMPONENT,DEFERRED_COMPLETION_COMPONENT,False,False,"260 complete attempts support run duration, which is excluded from the F8F pre-run-delay variable."
R4F8F_WAIT_QUEUE_MODEL_V1,weather/output/queue_wait_identifiability_2022_v1.csv,203716203a7fdff9f3476f884daeaf367c71053f83c70e28fa7eba6a91a132de,1,QUEUE_IDENTIFIABILITY_GATE,ADOPTED,False,False,Confirms zero exact/bounded waits and prohibits inter-attempt-gap conversion.
R4F8F_WAIT_QUEUE_MODEL_V1,r4/output/r4p11_stochastic_wait_performance_mc_results_v1.csv,45acda3fbb50d832b5bb2df4a421246b1fb2d57d42bff974d04b787a183c3131,9,OLD_DECLARED_WAIT_PRIOR_AND_FINAL_ACTION_OUTPUT,REJECTED_FOR_F8F_CALIBRATION,False,False,Action probabilities and wait summaries are not reused; declared time-to-completed-attempt semantics do not match F8F pre-run delay.
R4F8F_WAIT_QUEUE_MODEL_V1,r4/output/r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,9d1363e9ff73bf0073102fc1e686373161024c54831947749643b19a6551c3d0,1500,OLD_PRIOR_GENERATED_DRAWS,REJECTED_AS_INDEPENDENT_EVIDENCE,False,False,Generated draws are not historical observations and do not increase support size.
R4F8F_WAIT_QUEUE_MODEL_V1,r4/output/r4p11_stochastic_wait_performance_mc_report_v1.json,0f686beaaecded52dab54a5bef77386aa88943b431180ec141043054d691f3b7,1,OLD_MODEL_LIMITATIONS,CONTEXT_ONLY,False,False,Confirms old wait model was scenario-prior-only and not historically calibrated.
R4F8F_WAIT_QUEUE_MODEL_V1,r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,86620bb2849b7a0831a14a926c4f031036c97ca0f9e5a74c93abd6869b5056aa,170,FROZEN_ACTION_UNIVERSE,ADOPTED,False,False,Binds distributions to the unchanged 170 action rows and preserves action semantics.
R4F8F_WAIT_QUEUE_MODEL_V1,r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,ec63d81fd99f72ae877f05762957e90c0ac6bdef8f28564c796b74b1984d629b,60,FROZEN_NUMERIC_DECISION_UNIVERSE,ADOPTED,False,False,Confirms 60 decisions and zero exact session-remaining values; supplies no wait calibration observations.
