claim_id,category,support_level,claim_cn,dissertation_claim_en,source_asset,required_caveat
C001,SYSTEM,SUPPORTED,本项目实现的是一个带显式可识别性边界的、不确定性感知排位决策支持原型，而不是完整的自动决策器。,The final prototype is an uncertainty-aware qualifying decision-support system with explicit identifiability boundaries rather than a fully observed autonomous decision maker.,final_capability_summary_v1.json,Do not describe the system as a complete optimal-policy engine.
C002,STATE,SUPPORTED_WITH_LIMITATIONS,2022 年八个 decision-relevant repeat case 均被保留进最终状态表，但只有 Rossi 和 McLaughlin 具有可直接支持的 pre-decision rank。,"All eight 2022 decision-relevant repeat cases were retained in the final state table, while directly supported pre-decision rank information was available only for Rossi and McLaughlin.",decision_time_observable_state_v4_1_final.csv,Unknown ranks must remain unknown.
C003,TIMING,SUPPORTED,2022 的 repeat-pair decision time 无法可靠恢复，因此没有构造车手级真实 future-weather path。,"Decision times for the 2022 repeat-pair cases were not reliably identifiable, so driver-specific historical future-weather paths were not reconstructed.",r3b_timed_subset_coverage_v1.csv,Do not infer timestamps from result ordering.
C004,WEATHER,SUPPORTED,2020、2021 和 2023 共 129 个 performance-grade timed attempt 可连接 leakage-safe HRRR，用于环境敏感度分析。,"A total of 129 performance-grade timed attempts from 2020, 2021 and 2023 could be linked to leakage-safe HRRR forecasts for environmental sensitivity analysis.",r3b_timed_subset_coverage_v1.csv,This timed subset does not include 2022.
C005,ENVIRONMENT,SUPPORTED,在 normal repeat subset 上，HRRR 环境变化模型没有在 leave-one-year-out 验证中击败 ZERO_DELTA baseline，因此环境效应只保留为 sensitivity，不进入 central prediction。,"On the normal-repeat subset, the HRRR environment-change model did not outperform the ZERO_DELTA baseline under leave-one-year-out validation; environmental effects were therefore retained as sensitivity analysis rather than central prediction.",r3b3_performance_environment_sensitivity_v1.json,"This is a predictive validation result, not evidence that weather has no physical effect."
C006,TRACK_TEMPERATURE,SUPPORTED_WITH_LIMITATIONS,PTSC track temperature 只用于历史诊断，不作为 forward simulator predictor，因为未来 track temperature 无法被合法恢复，且禁止 air-to-track proxy。,Observed PTSC track temperature was retained for historical diagnostics only and was excluded from forward simulation because future track temperature was not identifiable and no air-to-track proxy was permitted.,r3b3_performance_environment_sensitivity_v1.json,Do not convert air temperature into track temperature.
C007,PERFORMANCE,SUPPORTED,ZERO_DELTA 是 repeat-performance central point prediction：下一次四圈均速的中心预测等于当前最好成绩，不确定性由经验 repeat-delta distribution 表达。,"ZERO_DELTA was retained as the central repeat-performance point prediction, with uncertainty represented through empirical repeat-delta distributions.",r3b3_performance_environment_sensitivity_v1.json,Do not interpret zero-delta as zero uncertainty.
C008,RECOVERY,SUPPORTED_WITH_LIMITATIONS,39 个 repeat pair 中只有 4 个 recovery-like case，因此 recovery branch 没有单独拟合多变量模型，而是使用经验分布和 Beta posterior。,Only 4 of the 39 repeat pairs were classified as recovery-like; this branch was therefore represented using an empirical distribution and Beta posterior rather than a separate multivariable model.,repeat_performance_recovery_probability_v1.csv,"Recovery-like is a diagnostic classification, not a causal latent state."
C009,MONTE_CARLO,SUPPORTED,在 central ALL_PRIMARY Monte Carlo 中，保留原成绩的 repeat action 平均最终变化约 0.521 mph，改善概率约 69.8%，且不会因为 repeat 更慢而损失已有成绩。,"Under the central ALL_PRIMARY Monte Carlo mixture, the retain-result repeat action produced a mean final change of approximately 0.521 mph and an improvement probability of approximately 69.8%, while protecting the existing result from a slower repeat.",r3c_final_monte_carlo_action_envelope_v2.csv,Conditional on a completed repeat attempt; priority/time effects are excluded.
C010,MONTE_CARLO,SUPPORTED,在相同 performance-only 条件下，withdraw-result repeat 的平均最终变化约 0.428 mph，并具有约 30.2% 的最终成绩变差概率。,"Under the same performance-only assumptions, the withdraw-result repeat action produced a mean final change of approximately 0.428 mph and a probability of approximately 30.2% of ending with a worse result.",r3c_final_monte_carlo_action_envelope_v2.csv,This does not include the potential time value of priority Lane 1.
C011,DECISION,SUPPORTED_WITH_LIMITATIONS,在排除 priority/time advantage 后，retain-result repeat 在纯 performance-risk 层面对 withdraw-result repeat 具有 downside protection；这不是 Lane 2 总体优于 Lane 1 的结论。,"When priority and time advantages were excluded, the retain-result repeat action provided downside protection relative to the withdraw-result repeat action in the performance-risk envelope; this does not imply that Lane 2 is globally preferable to Lane 1.",r3c_final_monte_carlo_action_envelope_v2.csv,Lane 1 priority value remains unmodeled.
C012,HISTORICAL_ACTION,SUPPORTED_WITH_LIMITATIONS,Rossi 和 McLaughlin 的 Lane 1 withdrawal action 具有直接历史证据；其他 repeat case 的完整 lane set 没有被可靠恢复。,"Direct historical evidence supports Lane 1 withdrawal actions for Rossi and McLaughlin, while the complete lane choice set for the remaining repeat cases was not reliably reconstructed.",r3c_action_historical_applicability_v1.csv,Withdrawn status alone must not be treated as Lane 1 evidence.
C013,SATO,SUPPORTED,Takuma Sato 属于 required reattempt after invalidation，不应被解释为普通 STOP/Lane2/Lane1 自主三选一案例。,Takuma Sato represents a required reattempt after invalidation and should not be interpreted as a standard elective STOP/Lane2/Lane1 decision case.,r3c_action_historical_applicability_v1.csv,His three mathematical envelopes are generic counterfactual semantics only.
C014,PROVENANCE,SUPPORTED,Scott McLaughlin 的第一轮速度通过 exact canonical attempt ID 恢复为 231.543 mph，且该修复没有改变 Monte Carlo delta distribution。,"Scott McLaughlin's first-attempt speed was recovered as 231.543 mph through exact canonical-attempt matching, without altering the Monte Carlo delta distribution.",decision_time_observable_state_v4_1_final.csv,Car numbers remain string-valued; no numeric normalisation is permitted.
