table_name,table_role,field_name,data_type,unit,nullable,key_role,foreign_key,semantic_meaning,data_classification,provenance_required,source_priority,derivation_rule,notes
qualifying_events,canonical,session_id,string,,no,primary key,,Stable Day 1 session identifier,DERIVED_DETERMINISTIC,no,system,INDY500_DAY1_{year},Never use mutable display title as key
qualifying_events,canonical,year,integer,year,no,unique attribute,,Qualifying year,RAW_OBSERVED,yes,official session metadata,none,Allowed 2020-2024 in v1
qualifying_events,canonical,official_session_id,string,,yes,alternate key,,INDYCAR session identifier,RAW_OBSERVED,yes,OFFICIAL_RAW,none,Preserve as text
qualifying_events,canonical,event_name,string,,no,none,,Official event name,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,
qualifying_events,canonical,session_name,string,,no,none,,Official session name,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Must identify Day 1
qualifying_events,canonical,event_date,date,calendar date,no,none,,Local session date,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,
qualifying_events,canonical,local_timezone,string,IANA timezone,no,none,,Timezone used for local source times,MANUALLY_ANNOTATED,yes,official schedule plus timezone reference,annotation rule TZ_V1,Expected America/Indiana/Indianapolis
qualifying_events,canonical,scheduled_start_utc,datetime_utc,UTC,yes,none,,Official scheduled start converted to UTC,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official schedule,local schedule time plus timezone conversion,Do not substitute replay start
qualifying_events,canonical,scheduled_end_utc,datetime_utc,UTC,yes,none,,Official scheduled end converted to UTC,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official schedule,local schedule time plus timezone conversion,Actual close may differ
qualifying_events,canonical,actual_start_utc,datetime_utc,UTC,yes,none,,Observed actual session start,RAW_OBSERVED,yes,official timing then capture,none,Null if only approximate
qualifying_events,canonical,actual_end_utc,datetime_utc,UTC,yes,none,,Observed actual session end,RAW_OBSERVED,yes,official timing then capture,none,Null if only approximate
qualifying_events,canonical,chronology_reconciliation_status,enum,,no,none,,Machine-checkable session chronology outcome,DERIVED_DETERMINISTIC,no,reconciliation checks,rule CHRONOLOGY_RECONCILIATION_V1,PASS|PARTIAL|FAIL
qualifying_events,canonical,year_policy_version,string,,no,none,,Applied year-use policy version,DERIVED_DETERMINISTIC,no,system,join frozen policy version,Does not replace row eligibility
attempts,canonical,attempt_id,uuid,,no,primary key,,Immutable generated attempt identifier,DERIVED_DETERMINISTIC,no,system,UUID on first inclusion,Does not encode chronology
attempts,canonical,session_id,string,,no,foreign key,qualifying_events.session_id,Parent Day 1 session,DERIVED_DETERMINISTIC,no,system,validated session join,
attempts,canonical,entry_key,string,,no,index,,Stable entry within session,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official entry/car metadata,session_id|car_number|entry_instance,Entry instance defaults 1 unless documented change
attempts,canonical,car_number,string,,no,none,,Published car/entry number,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Keep leading zero
